true_genre,raw_output,pred_genre
Hip-Hop,"Based on the provided lyrics, I would classify them as:

**Hip-Hop/Rap**

The lyrics contain strong language, references to violence and crime, and a focus on storytelling and social commentary, which are all characteristic of hip-hop/rap music. The rhyme scheme, wordplay, and delivery also suggest a style that is typical of West Coast hip-hop, specifically of the Philadelphia-style lyrical style popularized by Freeway.",Hip-Hop
Country,"Based on the provided lyrics, it's difficult to pinpoint a specific genre or label without more context. However, considering the style and themes presented, here are some possible classifications:

1. **Country**: The storytelling style and themes of heartache, trouble, and a sense of desperation might suggest a country music classification.

2. **Rock**: Although the tone seems more introspective than typical rock anthems, the lyrics' focus on emotional struggles and relationships could place it in the realm of rock ballads or contemporary rock.

3. **Singer-Songwriter/Folk**: The narrative style and personal nature of the lyrics might also align with singer-songwriter or folk genres, which often emphasize storytelling through acoustic instruments and emotive vocals.

4. **Pop/Rock Crossover**: Given the mix of themes (romantic heartache, self-doubt) and the language used, it's possible that this song could fit into a pop/rock crossover genre, aiming to appeal to a broad audience rather than strictly adhering to traditional country or rock genres.

Without more information or context about the artist's background, style, and previous work, these classifications are speculative. The lyrics given have a somewhat introspective and personal tone that might suggest a contemporary singer-songwriter or a pop-rock crossover artist.",Country
Rock,"Based on the lyrics provided, I would classify them as:

**Indie/Alternative Rock**

The lyrics seem to have a introspective and emotive tone, with a focus on personal relationships and vulnerability. The language is simple yet evocative, and the themes of love, giving, and connection are common in indie/alternative rock music.

Specifically, I'd say that Stefan Ruiters' style is reminiscent of artists like Lykke Li, Florence + The Machine, or Lorde, who are known for their introspective and emotionally charged songwriting.",Rock
Electronic,"Based on the lyrics provided, it is difficult to pinpoint a specific genre without more context. However, I can attempt to make an educated guess.

The lyrics appear to be in Spanish and seem to be referencing Argentine music traditions (milonga, candombe, tango). The style and structure of the lyrics also suggest a connection to traditional folk or roots music.

If I had to classify these lyrics, I would say they are from a song that blends elements of Latin American music traditions with possibly some rock or world music influences.",Folk
Pop,"After analyzing the lyrics, I would classify them as:

**Pop/Rock**

The lyrics appear to be written in a style that is reminiscent of contemporary pop-rock music. The themes of heartbreak, love, and moving on are common in this genre, and the language and imagery used in the lyrics suggests a more modern and polished sound.

Some specific features of the lyrics that support this classification include:

* The use of simple, direct language to convey emotions and ideas
* A focus on personal relationships and experiences (e.g. ""anybody ever tell you that you're not whole"")
* A sense of urgency and resolution (e.g. ""so done with you"" and ""cause I got nothing left"")
* A clear structure and rhythm, with a consistent rhyme scheme and meter.

Overall, the lyrics have a catchy, radio-friendly quality that suggests they would fit well in a pop-rock song.",Pop
Indie,"Based on the lyrics, I would classify this song as Pop-Rock. The themes of living in the moment, sharing happiness with others, and embracing life's experiences suggest a contemporary pop-rock sound. The lyrics also have a catchy, anthemic quality to them, which is typical of many pop-rock songs.

The mention of ""Give and take, we catch our breaks"" and ""We all learn to survive"" suggests that the song may be about resilience and adapting to life's challenges. The repetition of the phrase ""Living the best days of our lives"" also implies a sense of optimism and celebration, which is consistent with the pop-rock genre.

Overall, the lyrics seem to have a uplifting and energetic vibe, which is typical of many pop-rock songs.",Pop
Rock,"Based on the style, tone, and lyrical content, I would classify these lyrics as:

**Alternative Rock**

Specifically, they seem to be influenced by the moody, atmospheric sound of 80s and 90s Alternative Rock bands like The Smiths, The Cure, or Radiohead. The themes of nostalgia, melancholy, and social commentary are also consistent with this genre.

The use of poetic language, vivid imagery, and philosophical introspection is reminiscent of Robert Smith (The Cure) or Morrissey (The Smiths), while the musical sensibilities suggest a more experimental, art-rock approach.",Rock
Rock,"After analyzing the lyrics, I would classify them as:

**Alternative Rock/Hard Rock**

The lyrics have a dark and introspective tone, with themes of guilt, regret, and self-discovery. The language is poetic and metaphorical, with phrases like ""darkness was my enemy"", ""the dark was my friend"", and ""I'm guilty as a saint"". The mention of an altar boy, war, and a connoisseur also suggests a sense of rebellion and moral ambiguity.

The structure and rhythm of the lyrics are consistent with alternative rock/hard rock genres, with a focus on powerful vocals and driving rhythms. The use of repetition (""Guilty as a saint..."") and imagery (e.g., ""my face a little longer"", ""the dark was my friend"") also suggests a connection to this genre.

Some possible specific sub-genre classifications could be:

* Hard Rock: due to the strong, guitar-driven sound and lyrics with a sense of rebellion and moral ambiguity.
* Alternative Metal: due to the use of metaphors and poetic language, as well as the themes of darkness and guilt.
* Post-Grunge: due to the introspective tone and emphasis on personal struggle.",Metal
Folk,"Based on the lyrics, I would classify it as Folk/Traditional. The theme of the song appears to be about orphans and their experiences on the Orphan Train, which was a real historical phenomenon in the United States. The lyrics also have a nostalgic and storytelling quality to them, which is characteristic of folk music. Additionally, the language and style used are reminiscent of traditional American folk music from the early 20th century.

If I had to choose a more specific label, I would say:

* Folk: due to the song's focus on storytelling, nostalgia, and the theme of orphans.
* Traditional: as the song appears to be drawing on historical events and cultural practices from the past, rather than being a modern original work.
* Historical/Folk Music: as the song is meant to evoke a sense of time and place, and the lyrics are written in a way that is reminiscent of traditional folk music.",Folk
Rock,"After analyzing the lyrics, I would classify them as Pop/Rock with a strong emphasis on emotional and uplifting themes. The language and structure are reminiscent of modern pop-rock songs, with a focus on catchy melodies and heartfelt lyrics.

The lyrics seem to be about finding love and acceptance, overcoming darkness and adversity, and being there for someone in need. The song's message is optimistic and empowering, with a clear emphasis on the importance of human connection and support.

Some specific features that contribute to this classification include:

* Catchy, repetitive melodies (e.g., ""I'm there for you"" repeated multiple times)
* Simple, relatable lyrics (e.g., ""Within the darkness, you are the light"")
* Emphasis on emotional themes (e.g., love, acceptance, support)
* A sense of uplifting, empowering message

Overall, I would classify these lyrics as Pop/Rock with a strong focus on emotive, uplifting themes.",Pop
R&B,"Based on the provided lyrics, I would classify this song as Pop.

The lyrics have a conversational tone, and the focus is on a personal relationship, which is typical of pop music. The melody and structure also suggest a pop song, with simple and catchy phrases that are easy to remember. Additionally, the overall style and theme of the lyrics seem to match the era in which the song was written (likely 80s or 90s), which is consistent with many classic pop songs from those periods.

Some possible sub-genres could be:

* Ballad Pop
* Heartbreak Pop

However, without more information about the artist or song title, I can only provide a general classification of Pop.",Pop
Country,"I'll classify this new lyric.

Based on the lyrics, I would classify it as:

**Pop/Romantic Ballad**

The theme of the lyrics is a romantic relationship where one person has helped and supported another through difficult times. The language used is emotive and introspective, suggesting a focus on personal relationships and emotional vulnerability. The melody and arrangement would likely feature a simple yet powerful instrumental backing, with a focus on vocal delivery and heartfelt emotion.

In terms of specific artists or bands, this style of lyrics is reminiscent of artists like Adele, Sam Smith, or OneRepublic.",UNKNOWN
Rock,"Based on the lyrics provided, I would classify them as:

**Alternative Rock**

The lyrics have a introspective and emotive tone, with themes of identity, isolation, and searching for meaning. The language is simple yet evocative, and the structure is somewhat poetic and storytelling-driven. The overall feel is moody and atmospheric, which is consistent with the alternative rock genre.

Specifically, I would compare this song to bands like Hole (which was founded by lead singer Courtney Love) or Veruca Salt, both of which were prominent in the 90s alternative rock scene.",Rock
Rock,"After analyzing the new lyrics, I would classify them as:

**Pop/Rock**

The language, tone, and themes used in the lyrics suggest a pop/rock genre. The focus on emotions, relationships, and introspection are common in this genre.

Specifically, the lyrics have a melancholic and nostalgic tone, which is reminiscent of artists like Taylor Swift or Katy Perry. The use of simple, yet effective language and the repetition of phrases (""Who are we fooling?"", ""We'll never be together again"") also suggest a pop/rock style.

If I had to narrow it down further, I would say that these lyrics have a more contemporary pop-rock sound, possibly from a female artist in the 2010s or 2020s.",Pop
Pop,"A fun one!

After analyzing the lyrics, I would classify them as:

**Jewish Children's Song**

They seem to be a traditional or cultural song specifically for Bat Mitzvah celebrations in the Jewish community. The language and themes used are simple and celebratory, making it suitable for children.

If I had to further categorize it, I'd say it falls under the subgenre of **Children's Pop/Traditional Music**, given its upbeat and playful tone.",UNKNOWN
Metal,"Based on the lyrics provided, I would classify this song as Heavy Metal/Hardcore.

The language and imagery used in the lyrics suggest a dark and aggressive tone, with themes of violence, death, and rebellion. The use of phrases such as ""Murder her when you make love"", ""Keys to the gates of submission"", and ""Burn the witch"" further support this classification.

Additionally, the lyrical style and structure seem to be reminiscent of bands like Mayhem or Burzum, which are known for their dark and aggressive sound. The use of alliteration and assonance in some parts of the lyrics also suggests a level of poetic complexity that is often found in heavy metal music.

Overall, I would categorize this song as Heavy Metal/Hardcore, with possible sub-genre classifications such as Black Metal or Death Metal.",Metal
Rock,"Based on the lyrics provided, I would classify this song as Pop/Rock with a hint of Melancholic/Soulful tone. The structure, rhythm, and language used suggest a classic rock or pop-rock sound, but the themes of lost love and longing give it a more melancholic and introspective feel.

The use of simple, relatable lyrics and a repetitive phrase (""You took my heart, you took my heart from me"") also suggests a Pop-Rock sound. The overall mood and tone of the song seem to be nostalgic and wistful, which is also characteristic of many pop-rock songs.

If I had to narrow it down further, I would say that this song leans more towards a Classic Rock or 70s-inspired Pop-Rock sound, with hints of Soul and Blues. The style and tone are reminiscent of artists like Elton John, Billy Joel, or Fleetwood Mac.",Pop
Electronic,"Based on the style, structure, and content of the lyrics, I would classify this as Pop music. The lyrics have a conversational tone, focus on emotional themes of love, heartbreak, and nostalgia, and feature a catchy, repetitive melody (implied by the use of phrases like ""oohh"" and the repetition of ""Just An Old Boyfriend""). The overall feel is upbeat and melancholic at the same time, which is consistent with many classic pop ballads.",Pop
Pop,"After analyzing the lyrics, I would classify them as J-Pop/Rock Ballad. The language and structure of the lyrics seem to be influenced by Japanese culture and music style, with a focus on romantic themes and emotions. The use of phrases such as ""tsumo no michi wo"" (the path that leads me back to you) and ""kimi ni koto ga ki nattanda"" (your presence is what made me feel something) suggests a strong emphasis on love and relationships.

The melody and tempo of the song seem to be moderate, with a focus on showcasing the vocalist's emotional delivery. The lyrics also contain some introspective and philosophical moments, suggesting that the song may explore themes such as longing, uncertainty, and the complexities of human emotions.

Overall, the style and tone of the lyrics are consistent with J-Pop/Rock Ballad, which is a popular genre in Japan known for its emotive and often romantic soundscapes.",UNKNOWN
Rock,"I would classify this lyric as Punk Rock or Alternative Rock.

The lyrics' themes of industrialization, social isolation, environmental degradation, and consumerism are typical of punk rock's critique of modern society. The tone is also dark and satirical, with a sense of irony and rebellion against the societal expectations placed on the protagonist's daughter.

Additionally, the style of writing and the use of short sentences, simple language, and repetitive phrases are reminiscent of classic punk rock lyrics from bands like Black Flag, Minor Threat, or The Clash.",Rock
Hip-Hop,"Based on the lyrics provided, I would classify them as Hip-Hop/Rap. Specifically, they appear to be a lyrical passage from an underground hip-hop artist, possibly J Dilla (also known as Jay Dee) under the alias Aceyalone. The lyrics are dense with references to cannabis culture, social commentary, and personal reflections, which is consistent with the style of many underground hip-hop artists.

Note: J Dilla was a renowned producer who worked with many notable artists in the hip-hop industry, but he also released music under various aliases, including Aceyalone.",Hip-Hop
Rock,"Based on the lyrics provided, I would classify them as:

**Hip-Hop/Rap**

The lyrics contain a mix of storytelling, social commentary, and personal reflection, which are all common themes in hip-hop/rap music. The use of phrases such as ""one, two, one-two-one-two"" and the mention of specific issues like poverty, addiction, and violence also suggest a hip-hop/rap style. Additionally, the lyrics contain elements of satire and social commentary, which is also characteristic of many hip-hop/rap artists.",UNKNOWN
Rock,"Based on the provided lyrics, I would classify them as:

**Electronic/Alternative**

The lyrics seem to have a dreamy and atmospheric quality to them, with themes of love, connection, and introspection. The language is poetic and abstract, with a focus on sensory experiences and emotional resonance. The use of metaphors (e.g., ""you float like smoke across my floor"") and repetition (""yeah 'cause you're so pure that way"" and ""yeah 'cause you're perfect that way"") also suggests an electronic or alternative music influence.

In terms of specific sub-genres, I would place this classification under **Indie Electronic** or **Alternative R&B**, as the lyrics have a moody and introspective tone reminiscent of artists like CHVRCHES, Lorde, or Frank Ocean.",Electronic
Pop,"After analyzing the lyrics, I would classify them as Pop/R&B. The language, tone, and themes used in the lyrics are consistent with a pop/R&B style, which often focuses on emotional and personal relationships.

The lyrics seem to be about a past relationship that has ended, and the speaker is reflecting on what could have been if they had communicated their feelings earlier. The song's message of longing and regret is classic R&B territory, while the melody and production would likely be more pop-influenced.

Specifically, I would classify the lyrics as:

* Genre: Pop/R&B
* Mood: Melancholic/Reflective
* Theme: Lost love/Longing
* Influence: Classic R&B (e.g., Boyz II Men, En Vogue)

Please note that this classification is subjective and may vary depending on personal interpretation and context.",Pop
