genre,precision_zero,recall_zero,f1_zero,support,precision_few,recall_few,f1_few
Country,0.17088607594936708,0.30337078651685395,0.21862348178137653,89,0.49056603773584906,0.29213483146067415,0.36619718309859156
Electronic,0.17647058823529413,0.05263157894736842,0.08108108108108109,57,0.11363636363636363,0.08771929824561403,0.09900990099009901
Folk,0.043478260869565216,0.29411764705882354,0.07575757575757576,17,0.14285714285714285,0.35294117647058826,0.2033898305084746
Hip-Hop,0.6666666666666666,0.5398773006134969,0.5966101694915255,163,0.6590909090909091,0.5337423312883436,0.5898305084745763
Indie,0.0,0.0,0.0,16,0.026785714285714284,0.1875,0.046875
Jazz,0.0,0.0,0.0,43,0.42857142857142855,0.06976744186046512,0.12
Metal,0.3701657458563536,0.44370860927152317,0.4036144578313253,151,0.49074074074074076,0.3509933774834437,0.4092664092664093
Other,0.0,0.0,0.0,31,0.05555555555555555,0.1935483870967742,0.08633093525179857
Pop,0.236983842010772,0.5176470588235295,0.3251231527093596,255,0.3215258855585831,0.4627450980392157,0.37942122186495175
R&B,0.0,0.0,0.0,23,0.047619047619047616,0.043478260869565216,0.045454545454545456
Rock,0.4826388888888889,0.21221374045801528,0.2948038176033934,655,0.6428571428571429,0.2748091603053435,0.3850267379679144
